Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
10/30/1941,02:04,Near Moorhead Minnesota,Northwest Orient Airlines,5,Minneapolis - Fargo,Douglas DC-3,NC21712,2124,15.0,14.0,0.0
10/30/1941,22:10,St Thomas Ontario Canada,American Airlines,1,New York - Buffalo - Chicago - Detroit,Douglas DC-3,NC25663,2207,20.0,20.0,0.0
01/16/1942,19:23,Near Las Vegas Nevada,Trans Continental and Western Air,3,Las Vegas - Los Angeles,Douglas DC-3,NC1946,3295,22.0,22.0,0.0
05/01/1942,23:00,Salt Lake City Utah,United Air Lines,4,San Francisco - New York City,Douglas DST-A-207A,NC18146,1978,17.0,17.0,0.0
05/12/1942,11:51,Miles City Montana,Northwest Orient Airlines,1,Chicago - Seattle,Douglas DC-3-A-269,NC 21714,2129,14.0,3.0,0.0
10/03/1942,19:05,Botwood Newfoundland,American Export Airlines,71,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),NC41880,4401,37.0,11.0,0.0
10/23/1942,17:15,Palm Springs California,American Airlines / Military - USAF,28,Palm Springs - New York City,Douglas DC-3 / Boeing B-34,NC16017,1555,13.0,12.0,0.0
12/15/1942,01:22,Fairfield Utah,Western Airlines,13,Salt Lake - Las Vegas - Burbank,Douglas DC-3A,NC16060,1900,19.0,17.0,0.0
01/21/1943,07:30,Ukiah California,Pan American World Airways,V-1104,Hawaii - San Francisco,Martin M-130 (flying boat),NC14715,557,19.0,19.0,0.0
01/22/1943,15:15,Near Chaparra Peru,Pan American Grace Airlines,9,"Santiago, Chili - Arequipa, Peru - Lima, Peru",Douglas DC-3A,NC33645,4124,15.0,14.0,0.0
02/22/1943,06:47,Lisbon Portugal,Pan American World Airways,9035,New York City - Lisbon,Boeing B-314 (flying boat),NC18603,1990,39.0,25.0,0.0
06/01/1943,11:00,Off the coast of France,British Overseas Airways,2L272,Lisbon - London,Douglas DC-3,G-AGBB,1590,17.0,17.0,0.0
07/28/1943,22:43,Trammel Kentucky,American Airlines,63,Cleveland - Memphis,Douglas DC-3,NC16014,1552,22.0,20.0,0.0
10/15/1943,23:17,Near Centerville Tennessee,American Airlines,63,Nashville - Memphis,Douglas DC3-G102,NC16088,1588,15.0,15.0,0.0
02/10/1944,23:36,Memphis Tennessee,American Airlines,2,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24.0,24.0,0.0
08/08/1944,13:20,Off Antilla Cuba,Pan American World Airways,218,Antilla - Miami,Sikorsky S-42 (flying boat),NC823M,4201,31.0,17.0,0.0
11/04/1944,17:15,Hanford California,Trans Continental and Western Air,8,San Francisco - New York City,Douglas DC-3,NC28310,2251,24.0,24.0,0.0
12/01/1944,00:54,Van Nuys California,Trans Continental and Western Air,13,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17.0,9.0,0.0
01/08/1945,21:16,Port of Spain Trinidad,Pan American World Airways,161,Miami - Leopoldville,Martin M-130 (flying boat),NC14716,558,30.0,23.0,0.0
01/10/1945,04:10,Burbank California,American Airlines,6001,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24.0,24.0,0.0
02/23/1945,02:25,Marion Virginia,American Airlines,9,New York City - Los Angeles,Douglas DC-3,N18142,2138,22.0,17.0,0.0
04/14/1945,16:58,Morgantown West Virginia,Pennsylvania Central Airlines,142,Pittsburgh - Morgantown,Douglas DC-3,NC25692,2262,20.0,20.0,0.0
07/12/1945,14:36,Near Florence South Carolina,Eastern Air Lines / Military - U.S. Army Air Corps,45,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C /  Army A-26,NC25647,2235,10.0,3.0,0.0
08/03/1945,10:11,Fort de France Martinique,Pan American World Airways,216,Port of Spain - Fort de France,Sikorsky S-43 (flying boat),NC15066,4306,14.0,4.0,0.0
09/07/1945,02:13,Florence South Carolina,Eastern Air Lines,42,Miami - New York City,Douglas DC-3,NC33631,4137,22.0,22.0,0.0
10/05/1945,01:05,Lakeland Florida,National Airlines,16,Miami - Jacksonville,Lockheed 18 Lodestar,NC18199,2265,15.0,2.0,0.0
12/30/1945,21:13,New York City New York,Eastern Air Lines,14,Philadelphia - New York City,Douglas DC-3,NC18l23,1999,12.0,1.0,0.0
01/06/1946,03:59,Birmingham Alabama,Pennsylvania Central Airlines,105,"New York City - Birmingham, AL",Douglas DC-3,N21786,4131,11.0,3.0,0.0
01/18/1946,11:03,Cheshire Connecticut,Eastern Air Lines,16B,New York - Boston,Douglas DC-3-201E,NC19970,3254,17.0,17.0,0.0
01/31/1946,02:47,Mt Elk Wyoming,United Air Lines,14,Boise - Denver,Douglas DC-3-194H,NC25675,2147,21.0,21.0,0.0
